Date,Open,High,Low,Close,Adj Close,Volume
2019-12-19,2.880000,2.990000,2.750000,2.930000,2.930000,21210700
2019-12-20,2.890000,3.020000,2.880000,2.940000,2.940000,10798600
2019-12-23,2.960000,2.980000,2.900000,2.960000,2.960000,4826300
2019-12-24,2.950000,3.110000,2.940000,3.110000,3.110000,4804300
2019-12-26,3.090000,3.200000,3.030000,3.150000,3.150000,6234200
2019-12-27,3.190000,3.240000,3.050000,3.080000,3.080000,8407500
2019-12-30,3.100000,3.120000,2.910000,3.080000,3.080000,7603700
2019-12-31,3.050000,3.170000,3.010000,3.160000,3.160000,10109100
2020-01-02,3.210000,3.270000,3.120000,3.240000,3.240000,10698100
2020-01-03,3.200000,3.300000,3.140000,3.230000,3.230000,7754900
2020-01-06,3.430000,3.870000,3.360000,3.820000,3.820000,39410900
2020-01-07,3.760000,3.900000,3.660000,3.810000,3.810000,22220600
2020-01-08,3.750000,4.200000,3.750000,4.080000,4.080000,30564000
2020-01-09,4.180000,4.200000,3.880000,4.050000,4.050000,17390600
2020-01-10,4.080000,4.170000,4.020000,4.140000,4.140000,13966800
2020-01-13,4.220000,4.420000,4.060000,4.100000,4.100000,24579100
2020-01-14,4.100000,4.140000,3.830000,4.040000,4.040000,18388500
2020-01-15,4.000000,4.240000,3.950000,4.200000,4.200000,11233500
2020-01-16,4.240000,4.390000,4.110000,4.190000,4.190000,12759500
2020-01-17,4.200000,4.270000,4.110000,4.170000,4.170000,7915400
2020-01-21,4.150000,4.530000,4.080000,4.320000,4.320000,21413800
2020-01-22,4.360000,4.400000,3.880000,4.050000,4.050000,24725800
2020-01-23,3.870000,3.970000,3.820000,3.930000,3.930000,11369500
2020-01-24,4.100000,4.110000,3.850000,3.900000,3.900000,10301200
2020-01-27,3.730000,3.890000,3.650000,3.810000,3.810000,9249400
2020-01-28,3.860000,4.130000,3.860000,4.080000,4.080000,11133200
2020-01-29,4.170000,4.170000,3.930000,4.040000,4.040000,8774400
2020-01-30,3.960000,4.120000,3.870000,3.990000,3.990000,10989900
2020-01-31,4.020000,4.090000,3.750000,3.870000,3.870000,10758700
2020-02-03,3.890000,3.920000,3.790000,3.850000,3.850000,6913800
2020-02-04,3.900000,4.090000,3.890000,4.090000,4.090000,10169900
2020-02-05,4.080000,4.320000,4.060000,4.130000,4.130000,11263900
